0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
12.2,-3.36192,2.2202,0.00882121,0.531674,0.304629,0.304629,0.390741,-3.36192,2.2202,0.00882121,0.531674,0,0,0,0
12.3,-3.46231,2.31701,0.00882121,0.531674,0.302723,0.302723,0.394553,-3.46231,2.31701,0.00882121,0.531674,0,0,0,0
12.4,-3.50784,2.36316,0.0147203,0.8872,0.305973,0.305973,0.388055,-3.50784,2.36316,0.0147203,0.8872,0,0,0,0
12.5,-3.58635,2.49685,0.0147203,0.8872,0.309208,0.309208,0.381584,-3.58635,2.49685,0.0147203,0.8872,0,0,0,0
12.6,-3.61643,2.55701,0.0133237,0.803041,0.314508,0.314508,0.370985,-3.61643,2.55701,0.0133237,0.803041,0,0,0,0
12.7,-3.66022,2.64087,0.0133237,0.803041,0.319349,0.319349,0.361301,-3.66022,2.64087,0.0133237,0.803041,0,0,0,0
12.8,-3.68036,2.66795,0.0125666,0.757394,0.319349,0.319349,0.361301,-3.68036,2.66795,0.0125666,0.757394,0,0,0,0
12.9,-3.69802,2.74701,0.0125666,0.757394,0.319349,0.319349,0.361301,-3.69802,2.74701,0.0125666,0.757394,0,0,0,0
13,-3.71006,2.80888,0.0155608,0.937882,0.323806,0.323806,0.352388,-3.71006,2.80888,0.0155608,0.937882,0,0,0,0
13.1,-3.72171,2.90861,0.0155608,0.937882,0.328429,0.328429,0.343143,-3.72171,2.90861,0.0155608,0.937882,0,0,0,0
13.2,-3.72974,2.96614,0.015478,0.932882,0.33087,0.33087,0.338261,-3.72974,2.96614,0.015478,0.932882,0,0,0,0
13.3,-3.73875,3.07881,0.015478,0.932882,0.333333,0.333333,0.333333,-3.73875,3.07881,0.015478,0.932882,0,0,0,0
13.4,-3.74231,3.13669,0.0121803,0.734124,0.333333,0.333333,0.333333,-3.74231,3.13669,0.0121803,0.734124,0,0,0,0
13.5,-3.78034,3.19457,0.0121803,0.734124,0.333333,0.333333,0.333333,-3.78034,3.19457,0.0121803,0.734124,0,0,0,0
13.6,-3.82769,3.20226,0.0132571,0.798995,0.333333,0.333333,0.333333,-3.82769,3.20226,0.0132571,0.798995,0,0,0,0
13.7,-3.93749,3.22629,0.0132571,0.798995,0.333333,0.333333,0.333333,-3.93749,3.22629,0.0132571,0.798995,0,0,0,0
13.8,-3.98614,3.32785,0.00634038,0.382141,0.333333,0.333333,0.333333,-3.98614,3.32785,0.00634038,0.382141,0,0,0,0
13.9,-4.05627,3.33167,0.00634038,0.382141,0.333333,0.333333,0.333333,-4.05627,3.33167,0.00634038,0.382141,0,0,0,0
14,-4.08488,3.33963,0.0100332,0.604716,0.333333,0.333333,0.333333,-4.08488,3.33963,0.0100332,0.604716,0,0,0,0
14.1,-4.13021,3.344,0.0100332,0.604716,0.333333,0.333333,0.333333,-4.13021,3.344,0.0100332,0.604716,0,0,0,0
14.2,-4.13846,3.38573,0.0049318,0.297256,0.332854,0.332854,0.334291,-4.13846,3.38573,0.0049318,0.297256,0,0,0,0
14.3,-4.14744,3.39995,0.0049318,0.297256,0.332568,0.332568,0.334863,-4.14744,3.39995,0.0049318,0.297256,0,0,0,0
14.4,-4.16004,3.42318,0.00482605,0.290857,0.332469,0.332469,0.335061,-4.16004,3.42318,0.00482605,0.290857,0,0,0,0
14.5,-4.1756,3.43636,0.00482605,0.290857,0.332469,0.332469,0.335061,-4.1756,3.43636,0.00482605,0.290857,0,0,0,0
14.6,-4.19282,3.44701,0.0035712,0.215259,0.332387,0.330939,0.336674,-4.19282,3.44701,0.0035712,0.215259,0,0,0,0
14.7,-4.20563,3.45819,0.0035712,0.215259,0.332416,0.329566,0.338018,-4.20563,3.45819,0.0035712,0.215259,0,0,0,0
14.8,-4.22369,3.46705,0.0011635,0.0701338,0.332458,0.328918,0.338623,-4.22369,3.46705,0.0011635,0.0701338,0,0,0,0
14.9,-4.23154,3.46747,0.0011635,0.0701338,0.332517,0.328258,0.339225,-4.23154,3.46747,0.0011635,0.0701338,0,0,0,0
15,-4.23901,3.45984,-0.00156189,-0.094142,0.33228,0.329082,0.338639,-4.23901,3.45984,-0.00156189,-0.094142,0,0,0,0
15.1,-4.24699,3.45157,-0.00156189,-0.094142,0.332035,0.330009,0.337956,-4.24699,3.45157,-0.00156189,-0.094142,0,0,0,0
15.2,-4.24714,3.4425,-0.00156189,-0.094142,0.332445,0.331751,0.335803,-4.24714,3.4425,-0.00156189,-0.094142,0,0,0,0
15.3,-4.25318,3.41034,-0.00222547,-0.134136,0.332895,0.334627,0.332478,-4.25318,3.41034,-0.00222547,-0.134136,0,0,0,0
15.4,-4.25735,3.38989,-0.00222547,-0.134136,0.333399,0.337979,0.328621,-4.25735,3.38989,-0.00222547,-0.134136,0,0,0,0
15.5,-4.34595,3.33678,-0.00163503,-0.0985526,0.334195,0.340734,0.32507,-4.34595,3.33678,-0.00163503,-0.0985526,0,0,0,0
15.6,-4.41351,3.30537,-0.00163503,-0.0985526,0.335853,0.346963,0.317184,-4.41351,3.30537,-0.00163503,-0.0985526,0,0,0,0
15.7,-4.55954,3.24432,0.000502405,0.0302685,0.330505,0.336761,0.332734,-4.55954,3.24432,0.000502405,0.0302685,0,0,0,0
15.8,-4.61892,3.21541,0.000502405,0.0302685,0.324557,0.32349,0.351953,-4.61892,3.21541,0.000502405,0.0302685,0,0,0,0
15.9,-4.7073,3.18127,0.00124028,0.0747795,0.314536,0.304016,0.381448,-4.7073,3.18127,0.00124028,0.0747795,0,0,0,0
16,-4.73692,3.16737,0.00124028,0.0747795,0.30359,0.283022,0.413388,-4.73692,3.16737,0.00124028,0.0747795,0,0,0,0
16.1,-4.78826,3.11706,-0.176313,-0.319844,0.333457,0.279253,0.38729,-4.78826,3.11706,-0.176313,-0.319844,0,0,0,0
16.2,-4.80655,3.07732,-0.176313,-0.319844,0.363279,0.273269,0.363453,-4.80655,3.07732,-0.176313,-0.319844,0,0,0,0
16.3,-4.86628,3.01321,-1.00915,-1.02391,0.360224,0.275417,0.364358,-4.86628,3.01321,-1.00915,-1.02391,0,0,0,0
16.4,-5.07759,2.81445,-1.00915,-1.02391,0.357272,0.276921,0.365807,-5.07759,2.81445,-1.00915,-1.02391,0,0,0,0
16.5,-5.15254,2.73083,-0.429394,-1.08111,0.354597,0.27867,0.366733,-5.15254,2.73083,-0.429394,-1.08111,0,0,0,0
16.6,-5.19971,2.6176,-0.429394,-1.08111,0.351475,0.279771,0.368754,-5.19971,2.6176,-0.429394,-1.08111,0,0,0,0
16.7,-5.21916,2.55991,-0.791052,-0.861491,0.356596,0.290419,0.352985,-5.21916,2.55991,-0.791052,-0.861491,0,0,0,0
16.8,-5.24178,2.53889,-0.791052,-0.861491,0.360173,0.300042,0.339785,-5.24178,2.53889,-0.791052,-0.861491,0,0,0,0
16.9,-5.28782,2.49359,-0.791052,-0.861491,0.364459,0.311332,0.324209,-5.28782,2.49359,-0.791052,-0.861491,0,0,0,0
17,-5.40772,2.41391,-1.14949,-0.93576,0.3676,0.321671,0.310729,-5.40772,2.41391,-1.14949,-0.93576,0,0,0,0
17.1,-5.6042,2.25516,-1.14949,-0.93576,0.34951,0.327961,0.322529,-5.6042,2.25516,-1.14949,-0.93576,0,0,0,0
17.2,-5.7048,2.18468,-1.14949,-0.93576,0.333333,0.333333,0.333333,-5.7048,2.18468,-1.14949,-0.93576,0,0,0,0
17.3,-5.83028,2.11307,-0.947356,-0.731486,0.333333,0.333333,0.333333,-5.83028,2.11307,-0.947356,-0.731486,0,0,0,0
17.4,-5.93468,2.0546,-0.947356,-0.731486,0.333333,0.333333,0.333333,-5.93468,2.0546,-0.947356,-0.731486,0,0,0,0
17.5,-5.93468,2.0546,-0.947356,-0.731486,0.333333,0.333333,0.333333,-5.93468,2.0546,-0.947356,-0.731486,0,0,0,0
17.6,-5.97635,2.0232,-0.947356,-0.731486,0.333333,0.333333,0.333333,-5.97635,2.0232,-0.947356,-0.731486,0,0,0,0
17.7,-6.01224,1.96458,-0.708809,-0.812963,0.333333,0.333333,0.333333,-6.01224,1.96458,-0.708809,-0.812963,0,0,0,0
17.8,-6.05291,1.90005,-0.708809,-0.812963,0.333333,0.333333,0.333333,-6.05291,1.90005,-0.708809,-0.812963,0,0,0,0
17.9,-6.09564,1.79715,-0.708809,-0.812963,0.333333,0.333333,0.333333,-6.09564,1.79715,-0.708809,-0.812963,0,0,0,0
18,-6.1122,1.73262,-0.511791,-0.95395,0.333333,0.333333,0.333333,-6.1122,1.73262,-0.511791,-0.95395,0,0,0,0
18.1,-6.10429,1.63681,-0.511791,-0.95395,0.333333,0.333333,0.333333,-6.10429,1.63681,-0.511791,-0.95395,0,0,0,0
18.2,-6.10818,1.5664,-0.511791,-0.95395,0.333333,0.333333,0.333333,-6.10818,1.5664,-0.511791,-0.95395,0,0,0,0
18.3,-6.10818,1.5664,-0.511791,-0.95395,0.333333,0.333333,0.333333,-6.10818,1.5664,-0.511791,-0.95395,0,0,0,0
18.4,-6.15126,1.5236,-0.63397,-0.543956,0.333333,0.333333,0.333333,-6.15126,1.5236,-0.63397,-0.543956,0,0,0,0
18.5,-6.20231,1.48852,-0.63397,-0.543956,0.333333,0.333333,0.333333,-6.20231,1.48852,-0.63397,-0.543956,0,0,0,0
18.6,-6.28623,1.44544,-0.63397,-0.543956,0.333333,0.333333,0.333333,-6.28623,1.44544,-0.63397,-0.543956,0,0,0,0
18.7,-6.34535,1.43153,-0.590053,-0.249621,0.333333,0.333333,0.333333,-6.34535,1.43153,-0.590053,-0.249621,0,0,0,0
18.8,-6.39313,1.43497,-0.590053,-0.249621,0.333333,0.333333,0.333333,-6.39313,1.43497,-0.590053,-0.249621,0,0,0,0
18.9,-6.42891,1.4353,-0.590053,-0.249621,0.333333,0.333333,0.333333,-6.42891,1.4353,-0.590053,-0.249621,0,0,0,0
19,-6.45132,1.44088,-0.324711,-0.262062,0.333333,0.333333,0.333333,-6.45132,1.44088,-0.324711,-0.262062,0,0,0,0
19.1,-6.46152,1.44149,-0.324711,-0.262062,0.333333,0.333333,0.333333,-6.46152,1.44149,-0.324711,-0.262062,0,0,0,0
19.2,-6.46258,1.44165,-0.324711,-0.262062,0.333333,0.333333,0.333333,-6.46258,1.44165,-0.324711,-0.262062,0,0,0,0
19.3,-6.46258,1.44165,-0.324711,-0.262062,0.333333,0.333333,0.333333,-6.46258,1.44165,-0.324711,-0.262062,0,0,0,0
19.4,-6.4464,1.43792,0.113211,-0.168149,0.332182,0.337214,0.330604,-6.4464,1.43792,0.113211,-0.168149,0,0,0,0
19.5,-6.40426,1.44399,0.113211,-0.168149,0.330162,0.341893,0.327945,-6.40426,1.44399,0.113211,-0.168149,0,0,0,0
19.6,-6.36119,1.44451,0.113211,-0.168149,0.3274,0.347373,0.325227,-6.36119,1.44451,0.113211,-0.168149,0,0,0,0
19.7,-6.32028,1.44451,0.00539628,-0.197011,0.322495,0.35287,0.324635,-6.32028,1.44451,0.00539628,-0.197011,0,0,0,0
19.8,-6.28536,1.42637,0.00539628,-0.197011,0.317208,0.35879,0.324003,-6.28536,1.42637,0.00539628,-0.197011,0,0,0,0
19.9,-6.27682,1.42042,0.00539628,-0.197011,0.31191,0.364932,0.323158,-6.27682,1.42042,0.00539628,-0.197011,0,0,0,0
20,-6.29278,1.39158,-0.243255,-0.167922,0.31191,0.364932,0.323158,-6.29278,1.39158,-0.243255,-0.167922,0,0,0,0
20.1,-6.32052,1.38281,-0.243255,-0.167922,0.31191,0.364932,0.323158,-6.32052,1.38281,-0.243255,-0.167922,0,0,0,0
20.2,-6.33202,1.37269,-0.243255,-0.167922,0.31191,0.364932,0.323158,-6.33202,1.37269,-0.243255,-0.167922,0,0,0,0
20.3,-6.3437,1.35866,0.315538,0.0257854,0.296227,0.38143,0.322342,-6.3437,1.35866,0.315538,0.0257854,0,0,0,0
20.4,-6.31536,1.36035,0.315538,0.0257854,0.280677,0.393284,0.32604,-6.31536,1.36035,0.315538,0.0257854,0,0,0,0
20.5,-6.31536,1.36035,0.315538,0.0257854,0.265518,0.405429,0.329054,-6.31536,1.36035,0.315538,0.0257854,0,0,0,0
20.6,-6.2906,1.37081,0.315538,0.0257854,0.248797,0.419076,0.332128,-6.2906,1.37081,0.315538,0.0257854,0,0,0,0
20.7,-6.23277,1.39923,0.531807,0.239729,0.243824,0.416308,0.339868,-6.23277,1.39923,0.531807,0.239729,0,0,0,0
20.8,-6.17485,1.42804,0.531807,0.239729,0.238998,0.412962,0.348041,-6.17485,1.42804,0.531807,0.239729,0,0,0,0
20.9,-6.12292,1.45654,0.531807,0.239729,0.234001,0.40918,0.356819,-6.12292,1.45654,0.531807,0.239729,0,0,0,0
21,-6.08363,1.48214,0.571961,0.0564112,0.222972,0.425389,0.351639,-6.08363,1.48214,0.571961,0.0564112,0,0,0,0
21.1,-6.05193,1.50175,0.571961,0.0564112,0.211371,0.443564,0.345066,-6.05193,1.50175,0.571961,0.0564112,0,0,0,0
21.2,-5.96275,1.51998,0.571961,0.0564112,0.199304,0.464598,0.336098,-5.96275,1.51998,0.571961,0.0564112,0,0,0,0
21.3,-5.93585,1.52318,1.18848,-0.40749,0.222878,0.432968,0.344155,-5.93585,1.52318,1.18848,-0.40749,0,0,0,0
21.4,-5.93585,1.52318,1.18848,-0.40749,0.244923,0.407599,0.347478,-5.93585,1.52318,1.18848,-0.40749,0,0,0,0
21.5,-5.85624,1.4979,1.18848,-0.40749,0.264567,0.387165,0.348268,-5.85624,1.4979,1.18848,-0.40749,0,0,0,0
21.6,-5.74135,1.45343,1.18848,-0.40749,0.283853,0.369378,0.346768,-5.74135,1.45343,1.18848,-0.40749,0,0,0,0
21.7,-5.62966,1.41895,1.00099,-0.186982,0.29335,0.365578,0.341072,-5.62966,1.41895,1.00099,-0.186982,0,0,0,0
21.8,-5.56504,1.39745,1.00099,-0.186982,0.302526,0.361856,0.335619,-5.56504,1.39745,1.00099,-0.186982,0,0,0,0
21.9,-5.48892,1.37449,1.00099,-0.186982,0.311399,0.358223,0.330378,-5.48892,1.37449,1.00099,-0.186982,0,0,0,0
22,-5.39176,1.35558,1.14039,0.231234,0.319037,0.349463,0.3315,-5.39176,1.35558,1.14039,0.231234,0,0,0,0
