0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
9.9,-6.3635,1.51344,0.17815,-0.148265,0.317881,0.316682,0.365436,-6.3635,1.51344,0.17815,-0.148265
10,-6.339,1.50717,0.16038,-0.060398,0.356584,0.312029,0.331387,-6.339,1.50717,0.16038,-0.060398
10.1,-6.32876,1.50081,0.16038,-0.060398,0.327281,0.325835,0.346884,-6.32876,1.50081,0.16038,-0.060398
10.2,-6.28268,1.48699,0.156168,-0.0450754,0.353158,0.318349,0.328493,-6.28268,1.48699,0.156168,-0.0450754
10.3,-6.27188,1.47408,0.156168,-0.0450754,0.344935,0.321629,0.333437,-6.27188,1.47408,0.156168,-0.0450754
10.4,-6.25669,1.47299,0.1263,-0.0439843,0.356619,0.324611,0.318769,-6.25669,1.47299,0.1263,-0.0439843
10.5,-6.22466,1.46056,0.1263,-0.0439843,0.355275,0.324326,0.320399,-6.22466,1.46056,0.1263,-0.0439843
10.6,-6.21985,1.45655,0.0297231,0.00441777,0.39164,0.334613,0.273748,-6.21985,1.45655,0.0297231,0.00441777
10.7,-6.21211,1.46114,0.0297231,0.00441777,0.377787,0.34209,0.280122,-6.21211,1.46114,0.0297231,0.00441777
10.8,-6.21257,1.46163,-0.000498665,-0.00122617,0.4167,0.319964,0.263336,-6.21257,1.46163,-0.000498665,-0.00122617
10.9,-6.21693,1.46658,-0.000498665,-0.00122617,0.401291,0.328547,0.270162,-6.21693,1.46658,-0.000498665,-0.00122617
11,-6.21974,1.47126,1.37739e-05,0.00207198,0.378124,0.342306,0.27957,-6.21974,1.47126,1.37739e-05,0.00207198
11.1,-6.22216,1.47408,1.37739e-05,0.00207198,0.369366,0.347205,0.283429,-6.22216,1.47408,1.37739e-05,0.00207198
11.2,-6.21633,1.47047,-0,0,0.374367,0.343766,0.281867,-6.21633,1.47047,-0,0
11.3,-6.21869,1.46552,-0,0,0.404946,0.326838,0.268215,-6.21869,1.46552,-0,0
11.4,-6.21557,1.47072,9.55958e-07,0.000281543,0.370879,0.345768,0.283353,-6.21557,1.47072,9.55958e-07,0.000281543
