0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
4.7
4.8
4.9
5
5.1
5.2
5.3
5.4
5.5
5.6
5.7
5.8
5.9
13.1,-6.29043,1.55591,-0.031653,0.0249506,0.317932,0.36645,0.315618,-6.29043,1.55591,-0.031653,0.0249506
13.2,-6.28279,1.5582,0.0332149,-0.021947,0.315237,0.371198,0.313565,-6.28279,1.5582,0.0332149,-0.021947
13.3,-6.28716,1.55607,0.0332149,-0.021947,0.316532,0.370433,0.313035,-6.28716,1.55607,0.0332149,-0.021947
13.4,-6.28592,1.5582,-0.0327059,0.0132731,0.316053,0.370732,0.313216,-6.28592,1.5582,-0.0327059,0.0132731
13.5,-6.28914,1.56034,-0.0327059,0.0132731,0.316086,0.370641,0.313273,-6.28914,1.56034,-0.0327059,0.0132731
13.6,-6.29111,1.55873,-2.41713e-06,-0.000123857,0.314263,0.375876,0.309861,-6.29111,1.55873,-2.41713e-06,-0.000123857
13.7,-6.28742,1.55748,-2.41713e-06,-0.000123857,0.313982,0.376069,0.309948,-6.28742,1.55748,-2.41713e-06,-0.000123857
13.8,-6.28939,1.55814,-0.000512427,-0.00265641,0.313843,0.376904,0.309253,-6.28939,1.55814,-0.000512427,-0.00265641
13.9,-6.29281,1.55785,-0.000512427,-0.00265641,0.314433,0.376589,0.308978,-6.29281,1.55785,-0.000512427,-0.00265641
14,-6.29365,1.55357,0.0320143,0.0153894,0.316415,0.369747,0.313838,-6.29365,1.55357,0.0320143,0.0153894
14.1,-6.30069,1.54897,0.0320143,0.0153894,0.318244,0.368903,0.312854,-6.30069,1.54897,0.0320143,0.0153894
14.2,-6.28957,1.55186,0.0663373,0.00260834,0.312314,0.374543,0.313143,-6.28957,1.55186,0.0663373,0.00260834
14.3,-6.2816,1.55748,0.0663373,0.00260834,0.311554,0.374728,0.313718,-6.2816,1.55748,0.0663373,0.00260834
14.4,-6.27283,1.55855,0.102689,0.110079,0.340592,0.332725,0.326683,-6.27283,1.55855,0.102689,0.110079
14.5,-6.26224,1.56862,0.102689,0.110079,0.348611,0.328576,0.322813,-6.26224,1.56862,0.102689,0.110079
14.6,-6.24463,1.57897,0.175732,0.181822,0.310657,0.265425,0.423917,-6.24463,1.57897,0.175732,0.181822
14.7,-6.20255,1.61943,0.175732,0.181822,0.290287,0.27351,0.436203,-6.20255,1.61943,0.175732,0.181822
14.8,-6.18477,1.63701,0.220929,0.160817,0.272468,0.268335,0.459198,-6.18477,1.63701,0.220929,0.160817
14.9,-6.16018,1.65442,0.220929,0.160817,0.272,0.269579,0.458421,-6.16018,1.65442,0.220929,0.160817
15,-6.11863,1.68197,0.277526,0.201883,0.27306,0.307085,0.419855,-6.11863,1.68197,0.277526,0.201883
15.1,-6.07104,1.72304,0.277526,0.201883,0.254717,0.296286,0.448997,-6.07104,1.72304,0.277526,0.201883
15.2,-6.04871,1.73555,0.166282,0.179245,0.255557,0.27962,0.464823,-6.04871,1.73555,0.166282,0.179245
15.3,-6.01965,1.76833,0.166282,0.179245,0.255561,0.2707,0.473739,-6.01965,1.76833,0.166282,0.179245
15.4,-6.00144,1.78501,0.938106,0.247166,0.263498,0.280323,0.456179,-6.00144,1.78501,0.938106,0.247166
15.5,-5.98521,1.7957,0.938106,0.247166,0.268558,0.286563,0.444879,-5.98521,1.7957,0.938106,0.247166
15.6,-5.85404,1.82648,0.0830423,0.144313,0.280668,0.29399,0.425343,-5.85404,1.82648,0.0830423,0.144313
15.7,-5.90891,1.83732,0.0830423,0.144313,0.289616,0.298525,0.411859,-5.90891,1.83732,0.0830423,0.144313
15.8,-5.88899,1.85263,0.267423,0.182797,0.284935,0.298555,0.41651,-5.88899,1.85263,0.267423,0.182797
15.9,-5.88229,1.87062,0.267423,0.182797,0.280931,0.298364,0.420704,-5.88229,1.87062,0.267423,0.182797
16,-5.87863,1.88211,0.169141,0.163084,0.280201,0.295168,0.424632,-5.87863,1.88211,0.169141,0.163084
16.1,-5.87431,1.9027,0.169141,0.163084,0.279579,0.292491,0.42793,-5.87431,1.9027,0.169141,0.163084
16.2,-5.85723,1.91523,0.184828,0.158157,0.277918,0.289523,0.432559,-5.85723,1.91523,0.184828,0.158157
16.3,-5.84736,1.94205,0.184828,0.158157,0.276453,0.286962,0.436585,-5.84736,1.94205,0.184828,0.158157
16.4,-5.83437,1.95123,0.272714,0.216804,0.272627,0.28627,0.441103,-5.83437,1.95123,0.272714,0.216804
16.5,-5.81598,1.96541,0.272714,0.216804,0.269199,0.285621,0.44518,-5.81598,1.96541,0.272714,0.216804
16.6,-5.78916,1.98988,0.156409,0.187989,0.268418,0.283394,0.448189,-5.78916,1.98988,0.156409,0.187989
16.7,-5.79076,2.00314,0.156409,0.187989,0.267719,0.281401,0.45088,-5.79076,2.00314,0.156409,0.187989
16.8,-5.75274,2.03635,0.285029,0.203646,0.26543,0.282076,0.452494,-5.75274,2.03635,0.285029,0.203646
16.9,-5.73282,2.04682,0.285029,0.203646,0.263429,0.282801,0.45377,-5.73282,2.04682,0.285029,0.203646
17,-5.69507,2.06989,0.188289,0.187444,0.260838,0.279555,0.459608,-5.69507,2.06989,0.188289,0.187444
17.1,-5.67035,2.09439,0.188289,0.187444,0.258394,0.276569,0.465037,-5.67035,2.09439,0.188289,0.187444
17.2,-5.65117,2.10495,0.194151,0.169503,0.256762,0.274545,0.468693,-5.65117,2.10495,0.194151,0.169503
17.3,-5.63099,2.13013,0.194151,0.169503,0.255228,0.272693,0.472079,-5.63099,2.13013,0.194151,0.169503
17.4,-5.61317,2.14774,0.193808,0.189949,0.252664,0.269896,0.47744,-5.61317,2.14774,0.193808,0.189949
17.5,-5.59646,2.15838,0.193808,0.189949,0.250229,0.267271,0.4825,-5.59646,2.15838,0.193808,0.189949
17.6,-5.5711,2.19049,0.240683,0.192297,0.247924,0.26582,0.486256,-5.5711,2.19049,0.240683,0.192297
17.7,-5.55033,2.20622,0.240683,0.192297,0.245792,0.264507,0.4897,-5.55033,2.20622,0.240683,0.192297
17.8,-5.51358,2.22894,0.187696,0.166568,0.245229,0.263747,0.491024,-5.51358,2.22894,0.187696,0.166568
17.9,-5.50152,2.23972,0.187696,0.166568,0.244694,0.263047,0.49226,-5.50152,2.23972,0.187696,0.166568
18,-5.47519,2.26846,0.203569,0.198593,0.241787,0.260218,0.497994,-5.47519,2.26846,0.203569,0.198593
18.1,-5.45395,2.28762,0.203569,0.198593,0.238992,0.257516,0.503492,-5.45395,2.28762,0.203569,0.198593
18.2,-5.43176,2.30225,0.194887,0.204596,0.236461,0.254994,0.508545,-5.43176,2.30225,0.194887,0.204596
18.3,-5.41344,2.32292,0.194887,0.204596,0.234026,0.252585,0.513388,-5.41344,2.32292,0.194887,0.204596
18.4,-5.38513,2.35249,0.215789,0.183751,0.232064,0.250963,0.516973,-5.38513,2.35249,0.215789,0.183751
18.5,-5.36846,2.37089,0.215789,0.183751,0.23018,0.249396,0.520423,-5.36846,2.37089,0.215789,0.183751
18.6,-5.35308,2.37559,0.215789,0.183751,0.228487,0.248016,0.523497,-5.35308,2.37559,0.215789,0.183751
18.7,-5.33184,2.4015,0.291036,0.226903,0.229147,0.249904,0.520949,-5.33184,2.4015,0.291036,0.226903
18.8,-5.28694,2.42334,0.111603,0.159411,0.232567,0.253187,0.514245,-5.28694,2.42334,0.111603,0.159411
18.9,-5.26767,2.44262,0.111603,0.159411,0.235727,0.256227,0.508046,-5.26767,2.44262,0.111603,0.159411
19,-5.26618,2.45998,0.217567,0.202479,0.233406,0.25438,0.512214,-5.26618,2.45998,0.217567,0.202479
19.1,-5.2446,2.48086,0.217567,0.202479,0.231168,0.252615,0.516217,-5.2446,2.48086,0.217567,0.202479
19.2,-5.21758,2.50579,0.339079,0.227803,0.233175,0.255206,0.511618,-5.21758,2.50579,0.339079,0.227803
19.3,-5.18125,2.54007,0.339079,0.227803,0.235038,0.257621,0.507342,-5.18125,2.54007,0.339079,0.227803
19.4,-5.15915,2.55309,0.115896,0.162951,0.237394,0.259981,0.502625,-5.15915,2.55309,0.115896,0.162951
19.5,-5.15292,2.56001,0.115896,0.162951,0.239603,0.262197,0.4982,-5.15292,2.56001,0.115896,0.162951
19.6,-5.13535,2.57607,0.193231,0.205444,0.237686,0.260629,0.501685,-5.13535,2.57607,0.193231,0.205444
19.7,-5.11462,2.59341,0.193231,0.205444,0.235819,0.259114,0.505067,-5.11462,2.59341,0.193231,0.205444
19.8,-5.09483,2.62926,0.226566,0.199894,0.234249,0.258232,0.507518,-5.09483,2.62926,0.226566,0.199894
19.9,-5.07133,2.64682,0.226566,0.199894,0.232794,0.257466,0.509741,-5.07133,2.64682,0.226566,0.199894
20,-5.04454,2.67768,0.34924,0.239137,0.234602,0.259664,0.505735,-5.04454,2.67768,0.34924,0.239137
20.1,-5.00154,2.70516,0.34924,0.239137,0.236241,0.261658,0.502101,-5.00154,2.70516,0.34924,0.239137
20.2,-4.97714,2.72194,0.121904,0.158074,0.238076,0.263664,0.49826,-4.97714,2.72194,0.121904,0.158074
20.3,-4.95561,2.74776,0.121904,0.158074,0.239808,0.265586,0.494606,-4.95561,2.74776,0.121904,0.158074
20.4,-4.95033,2.75113,0.226296,0.213988,0.238236,0.264774,0.49699,-4.95033,2.75113,0.226296,0.213988
20.5,-4.93226,2.76866,0.226296,0.213988,0.236728,0.264017,0.499255,-4.93226,2.76866,0.226296,0.213988
20.6,-4.90764,2.79233,0.240709,0.227595,0.235564,0.263649,0.500787,-4.90764,2.79233,0.240709,0.227595
20.7,-4.87258,2.82283,0.240709,0.227595,0.23445,0.263266,0.502284,-4.87258,2.82283,0.240709,0.227595
20.8,-4.85833,2.83829,0.243513,0.192051,0.234242,0.263792,0.501966,-4.85833,2.83829,0.243513,0.192051
20.9,-4.83209,2.86643,0.243513,0.192051,0.234064,0.264302,0.501634,-4.83209,2.86643,0.243513,0.192051
21,-4.81171,2.87944,0.118617,0.190976,0.23489,0.265341,0.49977,-4.81171,2.87944,0.118617,0.190976
21.1,-4.79247,2.90605,0.118617,0.190976,0.235681,0.266361,0.497958,-4.79247,2.90605,0.118617,0.190976
21.2,-4.78866,2.92014,0.24872,0.216912,0.234967,0.266164,0.498869,-4.78866,2.92014,0.24872,0.216912
21.3,-4.74436,2.95695,0.24872,0.216912,0.234469,0.266156,0.499375,-4.74436,2.95695,0.24872,0.216912
21.4,-4.71136,2.98233,0.264191,0.187227,0.23528,0.267433,0.497287,-4.71136,2.98233,0.264191,0.187227
21.5,-4.68975,2.99865,0.264191,0.187227,0.236216,0.268829,0.494955,-4.68975,2.99865,0.264191,0.187227
21.6,-4.69097,3.00771,0.219108,0.225771,0.235018,0.268149,0.496833,-4.69097,3.00771,0.219108,0.225771
21.7,-4.66762,3.03133,0.219108,0.225771,0.233936,0.267552,0.498512,-4.66762,3.03133,0.219108,0.225771
21.8,-4.64066,3.05462,0.251216,0.210798,0.234143,0.268167,0.49769,-4.64066,3.05462,0.251216,0.210798
21.9,-4.613,3.08019,0.251216,0.210798,0.287619,0.329942,0.382439,-4.613,3.08019,0.251216,0.210798
22,-4.58372,3.10069,0.125831,0.178091,0.293512,0.334247,0.372241,-4.58372,3.10069,0.125831,0.178091
22.1,-4.55707,3.12906,0.125831,0.178091,0.291587,0.33372,0.374692,-4.55707,3.12906,0.125831,0.178091
22.2,-4.52871,3.1657,0.266696,0.216331,0.314474,0.352139,0.333387,-4.52871,3.1657,0.266696,0.216331
22.3,-4.52226,3.17737,0.266696,0.216331,0.31455,0.351879,0.333571,-4.52226,3.17737,0.266696,0.216331
22.4,-4.49497,3.19969,0.26451,0.22784,0.313147,0.350718,0.336135,-4.49497,3.19969,0.26451,0.22784
22.5,-4.47253,3.21893,0.26451,0.22784,0.31366,0.350448,0.335893,-4.47253,3.21893,0.26451,0.22784
22.6,-4.45196,3.2562,0.0982427,0.150308,0.317224,0.358842,0.323934,-4.45196,3.2562,0.0982427,0.150308
22.7001,-4.43119,3.26891,0.0982427,0.150308,0.314256,0.356674,0.32907,-4.43119,3.26891,0.0982427,0.150308
22.8001,-4.40016,3.28607,0.13274,0.151706,0.301238,0.357814,0.340948,-4.40016,3.28607,0.13274,0.151706
22.9001,-4.39725,3.29174,0.13274,0.151706,0.304063,0.361468,0.334469,-4.39725,3.29174,0.13274,0.151706
23.0001,-4.39321,3.30002,0.128666,0.0653502,0.303416,0.353597,0.342987,-4.39321,3.30002,0.128666,0.0653502
23.1001,-4.39428,3.30132,0.128666,0.0653502,0.304101,0.354402,0.341497,-4.39428,3.30132,0.128666,0.0653502
23.2001,-4.37735,3.30603,0.00368572,0.00257217,0.314261,0.319582,0.366158,-4.37735,3.30603,0.00368572,0.00257217
23.3001,-4.37946,3.29856,0.00368572,0.00257217,0.30981,0.314797,0.375393,-4.37946,3.29856,0.00368572,0.00257217
23.4001,-4.37775,3.29792,-0.143652,-0.0510852,0.327664,0.328419,0.343917,-4.37775,3.29792,-0.143652,-0.0510852
23.5001,-4.39261,3.29394,-0.143652,-0.0510852,0.330863,0.331768,0.337369,-4.39261,3.29394,-0.143652,-0.0510852
23.6001,-4.41178,3.28965,0.10114,0.00617846,0.315681,0.339977,0.344342,-4.41178,3.28965,0.10114,0.00617846
23.7001,-4.3904,3.29021,0.10114,0.00617846,0.311848,0.336844,0.351308,-4.3904,3.29021,0.10114,0.00617846
23.8001,-4.38448,3.28532,0.142526,-0.0716442,0.322732,0.354384,0.322883,-4.38448,3.28532,0.142526,-0.0716442
23.9001,-4.37947,3.27824,0.142526,-0.0716442,0.331456,0.35239,0.316154,-4.37947,3.27824,0.142526,-0.0716442
24.0001,-4.34952,3.26755,0.137141,-0.206555,0.286917,0.438429,0.274654,-4.34952,3.26755,0.137141,-0.206555
24.1001,-4.31958,3.24437,0.137141,-0.206555,0.286201,0.440383,0.273416,-4.31958,3.24437,0.137141,-0.206555
24.2001,-4.2949,3.20431,0.282255,-0.210089,0.340021,0.337814,0.322165,-4.2949,3.20431,0.282255,-0.210089
24.3001,-4.27306,3.18947,0.282255,-0.210089,0.339829,0.337868,0.322303,-4.27306,3.18947,0.282255,-0.210089
24.4001,-4.27406,3.16978,0.269839,-0.151793,0.356387,0.31966,0.323953,-4.27406,3.16978,0.269839,-0.151793
24.5001,-4.24732,3.14518,0.269839,-0.151793,0.361751,0.31661,0.321639,-4.24732,3.14518,0.269839,-0.151793
24.6001,-4.22318,3.13156,0.222999,-0.195411,0.354262,0.328592,0.317146,-4.22318,3.13156,0.222999,-0.195411
24.7001,-4.17678,3.09721,0.222999,-0.195411,0.350469,0.334203,0.315328,-4.17678,3.09721,0.222999,-0.195411
24.8001,-4.17424,3.08125,0.267592,-0.184207,0.351376,0.332381,0.316243,-4.17424,3.08125,0.267592,-0.184207
24.9001,-4.1471,3.06876,0.267592,-0.184207,0.3519,0.331149,0.316951,-4.1471,3.06876,0.267592,-0.184207
25.0001,-4.11338,3.03683,0.272259,-0.199373,0.351243,0.331476,0.317281,-4.11338,3.03683,0.272259,-0.199373
25.1001,-4.09179,3.01918,0.272259,-0.199373,0.350683,0.331756,0.317561,-4.09179,3.01918,0.272259,-0.199373
25.2001,-4.05985,2.99298,0.279044,-0.141965,0.352385,0.329756,0.317858,-4.05985,2.99298,0.279044,-0.141965
25.3001,-4.02906,2.98105,0.279044,-0.141965,0.353692,0.328155,0.318153,-4.02906,2.98105,0.279044,-0.141965
25.4001,-3.98966,2.96023,0.139117,-0.205509,0.346837,0.339426,0.313737,-3.98966,2.96023,0.139117,-0.205509
25.5001,-3.98161,2.93881,0.139117,-0.205509,0.340749,0.349519,0.309732,-3.98161,2.93881,0.139117,-0.205509
25.6001,-3.94862,2.91812,0.334588,-0.15714,0.341947,0.347478,0.310575,-3.94862,2.91812,0.334588,-0.15714
25.7001,-3.89516,2.90294,0.334588,-0.15714,0.342907,0.345737,0.311356,-3.89516,2.90294,0.334588,-0.15714
25.8001,-3.86446,2.88081,0.151912,-0.161348,0.342614,0.345945,0.311442,-3.86446,2.88081,0.151912,-0.161348
25.9001,-3.83892,2.87199,0.151912,-0.161348,0.342422,0.345964,0.311614,-3.83892,2.87199,0.151912,-0.161348
26.0001,-3.83954,2.85802,0.31095,-0.169189,0.342923,0.344837,0.312239,-3.83954,2.85802,0.31095,-0.169189
26.1001,-3.79469,2.83764,0.31095,-0.169189,0.34332,0.343862,0.312818,-3.79469,2.83764,0.31095,-0.169189
26.2001,-3.78434,2.82483,0.312266,-0.125986,0.344406,0.342198,0.313396,-3.78434,2.82483,0.312266,-0.125986
26.3001,-3.74399,2.80728,0.312266,-0.125986,0.345338,0.340726,0.313937,-3.74399,2.80728,0.312266,-0.125986
26.4001,-3.70925,2.8015,0.15981,-0.186342,0.345196,0.340251,0.314553,-3.70925,2.8015,0.15981,-0.186342
26.5001,-3.68736,2.77275,0.15981,-0.186342,0.345052,0.339814,0.315134,-3.68736,2.77275,0.15981,-0.186342
26.6001,-3.68495,2.75829,0.324162,-0.150287,0.345406,0.339085,0.315508,-3.68495,2.75829,0.324162,-0.150287
26.7001,-3.64376,2.73135,0.324162,-0.150287,0.345691,0.338449,0.31586,-3.64376,2.73135,0.324162,-0.150287
26.8001,-3.61877,2.72034,0.158367,-0.184149,0.345535,0.338106,0.316359,-3.61877,2.72034,0.158367,-0.184149
26.9001,-3.58459,2.69267,0.158367,-0.184149,0.345383,0.337774,0.316843,-3.58459,2.69267,0.158367,-0.184149
